workerid,rt,trial_type,name,responsetype,gender,num_objects,object,effect,actual_cause,cause,response,other_gender,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,16188,cause_effect_prior,John,ci_high,M,15,card towers,fell down,<strong>John punched  15 card towers.</strong>,punched __,15,F,5,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,16188,cause_effect_prior,John,best_guess,M,15,card towers,fell down,<strong>John punched  15 card towers.</strong>,punched __,5,F,5,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,12084,cause_effect_prior,Amy,confidence,F,15,bananas,were green,<strong>Amy saw  15 bananas.</strong>,saw __,0.71,F,6,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,12084,cause_effect_prior,Amy,ci_low,F,15,bananas,were green,<strong>Amy saw  15 bananas.</strong>,saw __,1,F,6,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,12084,cause_effect_prior,Amy,ci_high,F,15,bananas,were green,<strong>Amy saw  15 bananas.</strong>,saw __,15,F,6,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,12084,cause_effect_prior,Amy,best_guess,F,15,bananas,were green,<strong>Amy saw  15 bananas.</strong>,saw __,7,F,6,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,9548,cause_effect_prior,Daniel,confidence,M,15,birds,ate the seeds,<strong>Daniel left seeds out for  15 birds.</strong>,left seeds out for __,0.84,F,7,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,9548,cause_effect_prior,Daniel,ci_low,M,15,birds,ate the seeds,<strong>Daniel left seeds out for  15 birds.</strong>,left seeds out for __,1,F,7,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,9548,cause_effect_prior,Daniel,ci_high,M,15,birds,ate the seeds,<strong>Daniel left seeds out for  15 birds.</strong>,left seeds out for __,15,F,7,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,9548,cause_effect_prior,Daniel,best_guess,M,15,birds,ate the seeds,<strong>Daniel left seeds out for  15 birds.</strong>,left seeds out for __,10,F,7,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,11780,cause_effect_prior,Margaret,confidence,F,15,coins,landed flat,<strong>Margaret tossed  15 coins.</strong>,tossed __,0.82,M,8,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,11780,cause_effect_prior,Margaret,ci_low,F,15,coins,landed flat,<strong>Margaret tossed  15 coins.</strong>,tossed __,1,M,8,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,11780,cause_effect_prior,Margaret,ci_high,F,15,coins,landed flat,<strong>Margaret tossed  15 coins.</strong>,tossed __,15,M,8,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,11780,cause_effect_prior,Margaret,best_guess,F,15,coins,landed flat,<strong>Margaret tossed  15 coins.</strong>,tossed __,12,M,8,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,8812,cause_effect_prior,Larry,confidence,M,15,books,ripped,<strong>Larry used  15 books  as dog toys.</strong>,used __ as dog toys,1,F,9,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,8812,cause_effect_prior,Larry,ci_low,M,15,books,ripped,<strong>Larry used  15 books  as dog toys.</strong>,used __ as dog toys,1,F,9,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,8812,cause_effect_prior,Larry,ci_high,M,15,books,ripped,<strong>Larry used  15 books  as dog toys.</strong>,used __ as dog toys,15,F,9,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,8812,cause_effect_prior,Larry,best_guess,M,15,books,ripped,<strong>Larry used  15 books  as dog toys.</strong>,used __ as dog toys,15,F,9,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,14052,cause_effect_prior,Linda,confidence,F,15,bicycles,stopped,<strong>Linda pressed the brakes on  15 bicycles.</strong>,pressed the brakes on __,0.84,M,10,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
0,14052,cause_effect_prior,Linda,ci_low,F,15,bicycles,stopped,<strong>Linda pressed the brakes on  15 bicycles.</strong>,pressed the brakes on __,1,M,10,english ,1,Female,31,,Yes,4,Mac,900,1440,Safari,3WPCIUYH1979JWY0AWFB48MWH2KTDT,3WDXCWYEASQ2SV65NQT2Z32GLUDJY4,Language study,A 10-minute experiment where you answer some questions about events,language experiment study communication stanford fun cognitive science,$0.60,Tue May 05 14:35:36 PDT 2015,60,0,0,0,Reviewable,NotReviewed,1 cond,2400,60000,Thu Jun 04 14:35:36 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=3WPCIUYH1979JWY0AWFB48MWH2KTDT,3RGU30DZTA7LV7621X5C9CI2RB2MJM,0,Submitted,Wed May 06 07:21:39 PDT 2015,Tue May 05 14:38:01 PDT 2015,Tue May 05 14:41:39 PDT 2015,,,,,,[],{},3.5778
